file             bytes        this work  kanzi Huf 
alice29.txt      152089       0.6037     0.6177    
asyoulik.txt     125179       0.6348     0.6486    
cp.html          24603        0.6923     0.7057    
fields.c         11150        0.6492     0.6541    
grammar.lsp      3721         0.6205     0.6235    
kennedy.xls      1029744      0.4828     0.4343    
lcet10.txt       426754       0.6088     0.6181    
plrabn12.txt     481861       0.6061     0.6163    
ptt5             513216       0.1504     0.2240    
sum              38240        0.6071     0.6014    
xargs.1          4227         0.6662     0.6709    

TOTAL            2810784      0.4803     0.4806    
