method                     fraction   comp MB/s    decomp MB/s
this work N=8192           0.6146     29           9           
this work N=8192           0.6146     29           9           
this work N=8192           0.6146     27           7           
this work N=8192           0.6146     26           9           
this work N=8192           0.6146     26           9           
this work N=8192           0.6146     26           8           
this work N=8192           0.6146     26           10          
this work N=8192           0.6146     25           9           
this work N=8192           0.6146     25           8           
this work N=8192           0.6146     24           8           
this work N=512            0.6789     164          41          
this work N=512            0.6789     162          41          
this work N=512            0.6789     160          40          
this work N=512            0.6789     160          36          
this work N=512            0.6789     158          40          
this work N=512            0.6789     154          44          
this work N=512            0.6789     140          38          
this work N=512            0.6789     137          40          
this work N=512            0.6789     136          39          
this work N=512            0.6789     134          41          
this work N=4096           0.6213     71           16          
this work N=4096           0.6213     70           14          
this work N=4096           0.6213     69           14          
this work N=4096           0.6213     69           14          
this work N=4096           0.6213     68           14          
this work N=4096           0.6213     68           14          
this work N=4096           0.6213     67           14          
this work N=4096           0.6213     66           14          
this work N=4096           0.6213     62           12          
this work N=4096           0.6213     55           12          
this work N=2048           0.6323     137          22          
this work N=2048           0.6323     137          20          
this work N=2048           0.6323     136          25          
this work N=2048           0.6323     136          22          
this work N=2048           0.6323     136          22          
this work N=2048           0.6323     132          22          
this work N=2048           0.6323     128          22          
this work N=2048           0.6323     126          22          
this work N=2048           0.6323     123          21          
this work N=2048           0.6323     116          20          
this work N=1024           0.6501     220          35          
this work N=1024           0.6501     194          31          
this work N=1024           0.6501     192          32          
this work N=1024           0.6501     191          31          
this work N=1024           0.6501     187          31          
this work N=1024           0.6501     185          28          
this work N=1024           0.6501     174          31          
this work N=1024           0.6501     173          32          
this work N=1024           0.6501     168          28          
this work N=1024           0.6501     167          30          
kanzi TPAQX N=auto         0.2042     8            8           
kanzi TPAQX N=auto         0.2042     8            8           
kanzi TPAQX N=auto         0.2042     8            8           
kanzi TPAQX N=auto         0.2042     8            8           
kanzi TPAQX N=auto         0.2042     8            8           
kanzi TPAQX N=auto         0.2042     8            8           
kanzi TPAQX N=auto         0.2042     8            8           
kanzi TPAQX N=auto         0.2042     8            7           
kanzi TPAQX N=auto         0.2042     7            7           
