file             bytes        this work  kanzi Huf 
dickens          10192446     0.6028     0.6106    
mozilla          51220480     0.7079     0.7116    
mr               9970564      0.5210     0.4890    
nci              33553445     0.3277     0.3309    
ooffice          6152192      0.8388     0.8263    
osdb             10085684     0.9142     0.9015    
reymont          6627202      0.6350     0.6392    
samba            21606400     0.6611     0.6703    
sao              7251944      1.0342     1.0360    
webster          41458703     0.6595     0.6638    
x-ray            8474240      0.8857     0.8376    
xml              5345280      0.6482     0.6558    

TOTAL            211938580    0.6477     0.6473    
